d1,d2,d1_url
Travis Wilkerson,,/name/nm1288933/
Gina Prince-Bythewood,,/name/nm0697656/
Wong Kar-wai,,/name/nm0939182/
Abderrahmane Sissako,,/name/nm0803066/
Nuri Bilge Ceylan,,/name/nm0149196/
Don Hertzfeldt,,/name/nm0381116/
Robert Greene,,/name/nm1914992/
Sofia Coppola,,/name/nm0001068/
Todd Haynes,,/name/nm0001331/
Edward Yang,,/name/nm0945981/
Lars von Trier,,/name/nm0001885/
Abbas Kiarostami,,/name/nm0452102/
Hayao Miyazaki,,/name/nm0594503/
Don Hertzfeldt,,/name/nm0381116/
David Lynch,,/name/nm0000186/
Claire Denis,,/name/nm0219136/
Jacob Krupnick,,/name/nm4937026/
Joel, Ethan Coen,/name/nm0001054/
Cameron Crowe,,/name/nm0001081/
Michael Mann,,/name/nm0000520/
John Crowley,,/name/nm1259871/
Dan Gilroy,,/name/nm0319659/
Jeff Nichols,,/name/nm2158772/
Wes Anderson,,/name/nm0027572/
Asif Kapadia,,/name/nm0438090/
Noah Baumbach,,/name/nm0000876/
Yorgos Lanthimos,,/name/nm0487166/
Roy Andersson,,/name/nm0027815/
Joshua Oppenheimer,,/name/nm1484791/
Yorgos Lanthimos,,/name/nm0487166/
Andrzej Wajda,,/name/nm0906667/
Kim Ki-duk,,/title/tt1137972/
Michael Haneke,,/name/nm0359734/
David Lynch,,/name/nm0000186/
Ari Folman,,/name/nm0284369/
Park Chan-wook,,/name/nm0661791/
Charlie Kaufman,,/name/nm0442109/
Edward Yang,,/name/nm0945981/
Paul Thomas Anderson,,/name/nm0000759/
Richard Linklater,,/name/nm0000500/
Jia Zhangke,,/title/tt4092686/
Joanna Hogg,,/name/nm0389712/
Lucrecia Martel,,/name/nm0551506/
Joshua Oppenheimer,,/name/nm1484791/
Michael Haneke,,/name/nm0359734/
Elia Suleiman,,/name/nm0837839/
Jafar Panahi,,/name/nm0070159/
David Fincher,,/name/nm0000399/
Joel, Ethan Coen,/name/nm0001054/
Paul Thomas Anderson,,/name/nm0000759/
Sam Raimi,,/name/nm0000600/
Park Chan-wook,,/name/nm0661791/
Quentin Tarantino,,/name/nm0000233/
Chris Buck, Jennifer Lee,/name/nm0118333/
Spike Lee,,/name/nm0000490/
Darren Aronofsky,,/name/nm0004716/
Edgar Wright,,/name/nm0942367/
Paul Thomas Anderson,,/name/nm0000759/
Cristian Mungiu,,/name/nm0612816/
Edward Yang,,/name/nm0945981/
Steve McQueen,,/name/nm0000537/
Richard Linklater,,/name/nm0000500/
David Fincher,,/name/nm0000399/
Kenneth Lonergan,,/name/nm0518836/
David Lynch,,/name/nm0000186/
Fatih Akin,,/name/nm0015359/
Wong Kar-wai,,/name/nm0939182/
Alexander Payne,,/name/nm0668247/
David Fincher,,/name/nm0000399/
Charlie Kaufman,,/name/nm0442109/
Julian Schnabel,,/name/nm0773603/
Lars von Trier,,/name/nm0001885/
Destin Daniel Cretton,,/name/nm2308774/
Andrew Stanton,,/name/nm0004056/
Derek Cianfrance,,/name/nm0161834/
Noah Baumbach,,/name/nm0000876/
